Shipment_ID,Date,Origin_Port,Destination_Port,Volume_TEU,Distance_nm,Carrier_Reliability_Score,Weather_Condition,Geopolitical_Risk_Score,Fuel_Price_Index,Product_Category,Transport_Mode,Disruption_Occurred,Lead_Time_Days,Predicted_ETA_Date,Predicted_ETA_Days,Transit_Port
SC-25795,2024-10-13,Tokyo,Barcelona,12291,7743,0.7159,Fog,3.4,101.82,Machinery,Sea,0,17.9,2024-10-30 21:36:00,17.9,Singapore
SC-10860,2024-09-10,Trieste,Mersin,14910,6432,0.8807,Rain,3.9,146.93,Textiles,Sea,0,14.9,2024-09-24 21:36:00,14.9,İzmir
SC-86820,2024-07-31,Busan,Trieste,7171,8175,0.9107,Fog,4.5,121.21,Electronics,Sea,0,18.9,2024-08-18 21:36:00,18.9,Trieste
SC-64886,2024-09-06,Ambarli,Dubai,6691,9265,0.8359,Clear,4.1,97.66,Auto Parts,Sea,0,21.4,2024-09-27 09:36:00,21.4,Jebel Ali
SC-16265,2024-03-24,Barcelona,İzmir,5047,8103,0.7457,Clear,4.7,148.83,Chemicals,Sea,0,18.8,2024-04-11 19:12:00,18.8,Trieste
SC-92386,2024-01-13,Shanghai,Hamburg,2725,9358,0.8911,Clear,4.9,107.13,Machinery,Sea,0,21.7,2024-02-03 16:48:00,21.7,İzmir
SC-47194,2024-02-14,Valencia,Marsilya,12183,11263,0.7471,Clear,4.0,125.35,Auto Parts,Sea,0,26.1,2024-03-11 02:24:00,26.1,Dubai
SC-97498,2024-05-06,İzmir,Felixstowe,5664,4031,0.5558,Clear,4.5,130.67,Textiles,Sea,0,9.3,2024-05-15 07:12:00,9.3,İzmir
SC-54131,2024-04-23,Mersin,Singapore,5465,3249,0.5582,Clear,3.7,109.56,Textiles,Sea,0,7.5,2024-04-30 12:00:00,7.5,Singapore
SC-70263,2024-10-02,Dubai,Marsilya,7817,11487,0.9743,Storm,1.7,117.51,Chemicals,Sea,1,34.6,2024-11-05 14:24:00,34.6,Marsaxlokk
SC-26023,2024-07-23,Mersin,Dubai,13155,8808,0.6068,Clear,1.7,96.78,Electronics,Sea,0,20.4,2024-08-12 09:36:00,20.4,Dubai
SC-51090,2024-12-02,Los Angeles,Antwerp,13024,5556,0.908,Rain,1.4,112.61,Electronics,Sea,0,12.9,2024-12-14 21:36:00,12.9,Jebel Ali
SC-77221,2024-09-29,Mersin,Atina,9272,10519,0.6234,Clear,4.8,101.76,Auto Parts,Sea,0,24.3,2024-10-23 07:12:00,24.3,Singapore
SC-74820,2024-02-27,Busan,Shanghai,8957,10988,0.7154,Clear,3.7,118.32,Auto Parts,Sea,0,25.4,2024-03-23 09:36:00,25.4,Ambarli
SC-10769,2024-11-23,Hamburg,Busan,9956,7299,0.8275,Clear,4.2,126.89,Electronics,Sea,0,16.9,2024-12-09 21:36:00,16.9,Atina
SC-69735,2024-08-06,Los Angeles,Shanghai,3013,5094,0.5794,Clear,2.3,122.98,Electronics,Sea,0,11.8,2024-08-17 19:12:00,11.8,İzmir
SC-72955,2024-04-18,Tokyo,Los Angeles,14741,4977,0.8686,Storm,2.8,134.37,Auto Parts,Sea,1,15.0,2024-05-03 00:00:00,15.0,Singapore
SC-74925,2024-10-05,Dubai,Trieste,4993,2962,0.845,Clear,1.2,82.91,Machinery,Sea,0,6.9,2024-10-11 21:36:00,6.9,Dubai
SC-77969,2024-06-22,Trieste,New York,4316,7725,0.7715,Clear,4.6,85.5,Textiles,Sea,0,17.9,2024-07-09 21:36:00,17.9,Atina
SC-15311,2024-11-23,Ningbo,Shanghai,8036,7489,0.7829,Clear,4.4,94.37,Textiles,Sea,0,17.3,2024-12-10 07:12:00,17.3,Trieste
SC-93104,2024-09-20,Los Angeles,Busan,14975,3268,0.5529,Clear,4.1,149.01,Chemicals,Sea,0,7.6,2024-09-27 14:24:00,7.6,Atina
SC-63707,2024-11-10,Ningbo,New York,14421,7279,0.718,Clear,1.2,136.02,Textiles,Sea,0,16.8,2024-11-26 19:12:00,16.8,New York
SC-95305,2024-04-20,Trieste,Rotterdam,4275,2372,0.5433,Clear,1.7,144.69,Auto Parts,Sea,0,5.5,2024-04-25 12:00:00,5.5,Mersin
SC-38693,2024-07-05,Singapore,Shanghai,9280,6380,0.6539,Clear,2.3,99.05,Machinery,Sea,0,14.8,2024-07-19 19:12:00,14.8,Atina
SC-81932,2024-09-25,Singapore,Shanghai,6163,9617,0.9502,Clear,2.1,120.17,Auto Parts,Sea,1,28.9,2024-10-23 21:36:00,28.9,Singapore
SC-35658,2024-08-16,Shanghai,Tokyo,14961,11796,0.7873,Clear,4.4,118.84,Electronics,Sea,1,35.5,2024-09-20 12:00:00,35.5,New York
SC-94478,2024-06-04,Marsilya,Shanghai,6745,8279,0.8714,Rain,1.8,119.87,Electronics,Sea,0,19.2,2024-06-23 04:48:00,19.2,Tanger Med
SC-28431,2024-07-07,Atina,Ningbo,6104,2095,0.7869,Clear,3.1,130.23,Textiles,Sea,0,4.8,2024-07-11 19:12:00,4.8,Barcelona
SC-12747,2024-09-28,Dubai,Ambarli,8051,6369,0.5971,Clear,3.3,107.58,Machinery,Sea,0,14.7,2024-10-12 16:48:00,14.7,Tanger Med
SC-69150,2024-01-02,Singapore,Valencia,4522,5941,0.7974,Clear,2.7,127.4,Chemicals,Sea,0,13.8,2024-01-15 19:12:00,13.8,Barcelona
SC-75725,2024-09-02,Felixstowe,Marsilya,7811,9021,0.8777,Rain,2.0,135.19,Auto Parts,Sea,0,20.9,2024-09-22 21:36:00,20.9,Tanger Med
SC-94654,2024-07-28,Hamburg,Marsilya,3593,11392,0.5692,Rain,4.8,100.24,Chemicals,Sea,0,26.4,2024-08-23 09:36:00,26.4,Piraeus
SC-45773,2024-10-12,Trieste,Antwerp,10550,5944,0.9085,Rain,2.7,146.2,Chemicals,Sea,1,17.9,2024-10-29 21:36:00,17.9,New York
SC-77435,2024-12-24,Marsilya,Trieste,14128,7868,0.7777,Clear,3.9,116.26,Chemicals,Sea,0,18.2,2025-01-11 04:48:00,18.2,Trieste
SC-66886,2024-01-13,Shanghai,Felixstowe,6277,7396,0.5021,Clear,1.7,131.29,Chemicals,Sea,0,17.1,2024-01-30 02:24:00,17.1,Trieste
SC-76803,2024-04-05,Atina,Trieste,9173,10041,0.7599,Clear,4.3,131.02,Auto Parts,Sea,0,23.2,2024-04-28 04:48:00,23.2,Piraeus
